network-snapshot-000140        time 4m 40s       fid50k 656.7324  
network-snapshot-001286        time 1m 43s       fid50k 569.5185  
network-snapshot-002371        time 1m 53s       fid50k 603.4331  
network-snapshot-003294        time 2m 10s       fid50k 622.5540  
network-snapshot-004095        time 2m 11s       fid50k 648.3644  
network-snapshot-004715        time 2m 34s       fid50k 590.0427  
network-snapshot-005316        time 2m 31s       fid50k 571.1313  
network-snapshot-005736        time 3m 11s       fid50k 594.3918  
network-snapshot-006136        time 3m 07s       fid50k 224.3875  
network-snapshot-006536        time 3m 08s       fid50k 38.3977   
network-snapshot-006846        time 4m 17s       fid50k 42.9710   
network-snapshot-007146        time 4m 12s       fid50k 25.1979   
network-snapshot-007446        time 4m 10s       fid50k 15.2917   
network-snapshot-007746        time 4m 18s       fid50k 20.6031   
network-snapshot-008046        time 4m 14s       fid50k 26.7749   
network-snapshot-008346        time 4m 12s       fid50k 25.1854   
network-snapshot-008646        time 4m 11s       fid50k 32.1214   
network-snapshot-008946        time 4m 14s       fid50k 25.7221   
network-snapshot-009246        time 4m 20s       fid50k 35.0894   
network-snapshot-009546        time 4m 13s       fid50k 32.4271   
network-snapshot-009846        time 4m 12s       fid50k 53.1365   
network-snapshot-010146        time 4m 15s       fid50k 43.9827   
network-snapshot-010446        time 4m 15s       fid50k 34.8093   
network-snapshot-010746        time 4m 22s       fid50k 47.5260   
network-snapshot-011046        time 4m 17s       fid50k 46.4796   
network-snapshot-011346        time 4m 12s       fid50k 49.1760   
network-snapshot-011646        time 4m 16s       fid50k 53.8692   
network-snapshot-011946        time 4m 14s       fid50k 52.7709   
network-snapshot-012246        time 4m 12s       fid50k 52.7636   
network-snapshot-012546        time 4m 25s       fid50k 64.4873   
network-snapshot-012846        time 4m 13s       fid50k 67.7683   
network-snapshot-013146        time 4m 13s       fid50k 74.5916   
network-snapshot-013446        time 4m 10s       fid50k 54.2263   
network-snapshot-013746        time 4m 16s       fid50k 75.5472   
network-snapshot-014046        time 4m 13s       fid50k 85.3490   
network-snapshot-014346        time 4m 12s       fid50k 75.3932   
network-snapshot-014646        time 4m 11s       fid50k 89.4274   
network-snapshot-014946        time 4m 24s       fid50k 90.8007   
